name,num
Dendrocygna javanica,60
Anser indicus,69
Anser anser,1030
Anser cygnoides,62
Anser albifrons,580
Sarkidiornis melanotos,5
Tadorna ferruginea,226
Tadorna tadorna,414
Nettapus coromandelianus,10
Aix galericulata,138
Sibirionetta formosa,8
Spatula querquedula,231
Spatula clypeata,265
Mareca strepera,515
Mareca falcata,11
Mareca penelope,778
Anas poecilorhyncha,27
Anas zonorhyncha,29
Anas platyrhynchos,1175
Anas acuta,251
Anas crecca,997
Asarcornis scutulata,4
Netta rufina,71
Aythya ferina,142
Aythya nyroca,20
Aythya baeri,0
Aythya fuligula,221
Aythya marila,27
Clangula hyemalis,173
Mergus squamatus,1
Caloperdix oculeus,20
Rollulus rouloul,27
Arborophila rufogularis,63
Arborophila campbelli,28
Arborophila brunneopectus,19
Arborophila cambodiana,8
Arborophila chloropus,0
Arborophila charltonii,0
Rhizothera longirostris,19
Argusianus argus,89
Pavo muticus,16
Polyplectron malacense,47
Polyplectron inopinatum,11
Polyplectron bicalcaratum,61
Synoicus chinensis,13
Coturnix japonica,54
Coturnix coturnix,1370
Coturnix coromandelica,33
Francolinus pintadeanus,59
Bambusicola fytchii,17
Gallus gallus,170
Syrmaticus humiae,7
Lophura nycthemera,16
Lophura leucomelanos,24
Lophura diardi,28
Lophura ignita,20
Phoenicopterus roseus,305
Tachybaptus ruficollis,1510
Podiceps auritus,133
Podiceps cristatus,344
Podiceps nigricollis,89
Columba livia,234
Columba hodgsonii,1
Columba pulchricollis,7
Columba punicea,0
Streptopelia orientalis,97
Streptopelia tranquebarica,35
Streptopelia chinensis,0
Macropygia unchall,49
Macropygia ruficeps,57
Chalcophaps indica,102
Geopelia striata,159
Caloenas nicobarica,3
Treron olax,16
Treron vernans,35
Treron fulvicollis,12
Treron bicinctus,6
Treron phayrei,12
Treron curvirostra,37
Treron capellei,10
Treron phoenicopterus,15
Treron seimundi,7
Treron apicauda,3
Treron sphenurus,22
Treron sieboldii,20
Ptilinopus jambu,2
Ducula aenea,105
Ducula badia,48
Ducula bicolor,14
Carpococcyx renauldi,29
Centropus rectunguis,22
Centropus sinensis,252
Centropus bengalensis,92
Rhinortha chlorophaea,40
Zanclostomus javanicus,16
Phaenicophaeus curvirostris,17
Phaenicophaeus sumatranus,6
Phaenicophaeus diardi,5
Phaenicophaeus tristis,25
Clamator coromandus,66
Clamator jacobinus,65
Eudynamys scolopaceus,386
Chrysococcyx maculatus,10
Chrysococcyx xanthorhynchus,67
Chrysococcyx minutillus,83
Cacomantis sonneratii,167
Cacomantis merulinus,214
Cacomantis variolosus,126
Surniculus dicruroides,46
Surniculus lugubris,163
Hierococcyx vagans,33
Hierococcyx sparverioides,138
Hierococcyx bocki,44
Hierococcyx varius,112
Hierococcyx nisicolor,33
Hierococcyx fugax,47
Cuculus poliocephalus,86
Cuculus micropterus,199
Cuculus saturatus,53
Cuculus lepidus,64
Cuculus canorus,2035
Batrachostomus auritus,33
Batrachostomus stellatus,37
Batrachostomus hodgsoni,22
Batrachostomus affinis,56
Lyncornis temminckii,21
Lyncornis macrotis,77
Caprimulgus jotaka,85
Caprimulgus macrurus,253
Caprimulgus asiaticus,59
Caprimulgus affinis,111
Rhaphidura leucopygialis,10
Hirundapus caudacutus,5
Hirundapus cochinchinensis,1
Hirundapus giganteus,1
Collocalia affinis,22
Aerodramus brevirostris,7
Aerodramus maximus,2
Aerodramus fuciphagus,12
Aerodramus germani,17
Apus apus,767
Apus pacificus,44
Apus cooki,8
Apus acuticauda,1
Apus nipalensis,62
Cypsiurus balasiensis,41
Hemiprocne coronata,32
Hemiprocne longipennis,42
Hemiprocne comata,24
Rallus indicus,26
Lewinia striata,50
Porzana porzana,773
Gallinula chloropus,2289
Fulica atra,2194
Porphyrio poliocephalus,67
Gallicrex cinerea,29
Amaurornis phoenicurus,228
Amaurornis cinerea,0
Rallina fasciata,57
Rallina eurizonoides,26
Zapornia fusca,48
Zapornia paykullii,15
Zapornia pusilla,328
Zapornia bicolor,20
Heliopais personatus,1
Anthropoides virgo,0
Antigone antigone,38
Grus grus,1069
Burhinus indicus,19
Esacus recurvirostris,28
Esacus magnirostris,32
Himantopus himantopus,821
Recurvirostra avosetta,534
Haematopus ostralegus,1197
Pluvialis squatarola,643
Pluvialis fulva,175
Vanellus vanellus,1148
Vanellus duvaucelii,34
Vanellus cinereus,23
Vanellus indicus,199
Charadrius mongolus,66
Charadrius leschenaultii,60
Charadrius peronii,4
Charadrius alexandrinus,317
Charadrius hiaticula,936
Charadrius placidus,12
Charadrius dubius,1064
Charadrius veredus,17
Rostratula benghalensis,19
Hydrophasianus chirurgus,28
Metopidius indicus,29
Numenius phaeopus,1145
Numenius minutus,11
Numenius madagascariensis,24
Numenius arquata,1642
Limosa lapponica,249
Limosa limosa,538
Arenaria interpres,453
Calidris tenuirostris,4
Calidris canutus,214
Calidris pugnax,48
Calidris falcinellus,94
Calidris acuminata,12
Calidris ferruginea,178
Calidris temminckii,172
Calidris subminuta,25
Calidris pygmaea,7
Calidris ruficollis,48
Calidris alba,267
Calidris alpina,1048
Calidris minuta,153
Calidris melanotos,151
Limnodromus semipalmatus,10
Limnodromus scolopaceus,109
Lymnocryptes minimus,146
Scolopax rusticola,967
Gallinago nemoricola,12
Gallinago gallinago,1703
Gallinago stenura,83
Gallinago megala,42
Xenus cinereus,139
Phalaropus lobatus,154
Phalaropus fulicarius,86
Actitis hypoleucos,1730
Tringa ochropus,1266
Tringa brevipes,62
Tringa erythropus,394
Tringa nebularia,1129
Tringa guttifer,8
Tringa stagnatilis,131
Tringa glareola,919
Tringa totanus,1447
Turnix sylvaticus,148
Turnix tanki,10
Turnix suscitator,18
Dromas ardeola,46
Glareola pratincola,131
Glareola maldivarum,44
Glareola lactea,23
Stercorarius pomarinus,7
Stercorarius parasiticus,82
Stercorarius longicaudus,74
Rissa tridactyla,232
Xema sabini,19
Chroicocephalus genei,202
Chroicocephalus ridibundus,1249
Chroicocephalus brunnicephalus,12
Hydrocoloeus minutus,133
Ichthyaetus hemprichii,26
Ichthyaetus ichthyaetus,26
Larus crassirostris,24
Larus canus,606
Larus argentatus,620
Larus cachinnans,140
Larus fuscus,300
Larus schistisagus,22
Anous stolidus,38
Onychoprion fuscatus,39
Onychoprion anaethetus,36
Onychoprion aleuticus,17
Sternula albifrons,384
Gelochelidon nilotica,249
Hydroprogne caspia,373
Chlidonias leucopterus,149
Chlidonias hybrida,287
Sterna dougallii,175
Sterna sumatrana,25
Sterna hirundo,793
Sterna paradisaea,397
Sterna acuticauda,3
Sterna aurantia,18
Thalasseus bergii,55
Thalasseus bengalensis,30
Thalasseus bernsteini,4
Rynchops albicollis,3
Phaethon lepturus,29
Phaethon aethereus,29
Phaethon rubricauda,47
Phoebastria immutabilis,156
Oceanodroma monorhis,0
Pterodroma cervicalis,2
Calonectris leucomelas,3
Ardenna pacificus,0
Ardenna tenuirostris,10
Anastomus oscitans,7
Ciconia nigra,29
Ciconia episcopus,0
Ciconia stormi,0
Ciconia ciconia,159
Ciconia boyciana,2
Ephippiorhynchus asiaticus,0
Leptoptilos javanicus,1
