id,name
0,Dendrocygna javanica
1,Anser indicus
2,Anser anser
3,Anser cygnoides
4,Anser albifrons
5,Sarkidiornis melanotos
6,Tadorna ferruginea
7,Tadorna tadorna
8,Nettapus coromandelianus
9,Aix galericulata
10,Sibirionetta formosa
11,Spatula querquedula
12,Spatula clypeata
13,Mareca strepera
14,Mareca falcata
15,Mareca penelope
16,Anas poecilorhyncha
17,Anas zonorhyncha
18,Anas platyrhynchos
19,Anas acuta
20,Anas crecca
21,Asarcornis scutulata
22,Netta rufina
23,Aythya ferina
24,Aythya nyroca
25,Aythya baeri
26,Aythya fuligula
27,Aythya marila
28,Clangula hyemalis
29,Mergus squamatus
30,Caloperdix oculeus
31,Rollulus rouloul
32,Arborophila rufogularis
33,Arborophila campbelli
34,Arborophila brunneopectus
35,Arborophila cambodiana
36,Arborophila chloropus
37,Arborophila charltonii
38,Rhizothera longirostris
39,Argusianus argus
40,Pavo muticus
41,Polyplectron malacense
42,Polyplectron inopinatum
43,Polyplectron bicalcaratum
44,Synoicus chinensis
45,Coturnix japonica
46,Coturnix coturnix
47,Coturnix coromandelica
48,Francolinus pintadeanus
49,Bambusicola fytchii
50,Gallus gallus
51,Syrmaticus humiae
52,Lophura nycthemera
53,Lophura leucomelanos
54,Lophura diardi
55,Lophura ignita
56,Phoenicopterus roseus
57,Tachybaptus ruficollis
58,Podiceps auritus
59,Podiceps cristatus
60,Podiceps nigricollis
61,Columba livia
62,Columba hodgsonii
63,Columba pulchricollis
64,Columba punicea
65,Streptopelia orientalis
66,Streptopelia tranquebarica
67,Streptopelia chinensis
68,Macropygia unchall
69,Macropygia ruficeps
70,Chalcophaps indica
71,Geopelia striata
72,Caloenas nicobarica
73,Treron olax
74,Treron vernans
75,Treron fulvicollis
76,Treron bicinctus
77,Treron phayrei
78,Treron curvirostra
79,Treron capellei
80,Treron phoenicopterus
81,Treron seimundi
82,Treron apicauda
83,Treron sphenurus
84,Treron sieboldii
85,Ptilinopus jambu
86,Ducula aenea
87,Ducula badia
88,Ducula bicolor
89,Carpococcyx renauldi
90,Centropus rectunguis
91,Centropus sinensis
92,Centropus bengalensis
93,Rhinortha chlorophaea
94,Zanclostomus javanicus
95,Phaenicophaeus curvirostris
96,Phaenicophaeus sumatranus
97,Phaenicophaeus diardi
98,Phaenicophaeus tristis
99,Clamator coromandus
100,Clamator jacobinus
101,Eudynamys scolopaceus
102,Chrysococcyx maculatus
103,Chrysococcyx xanthorhynchus
104,Chrysococcyx minutillus
105,Cacomantis sonneratii
106,Cacomantis merulinus
107,Cacomantis variolosus
108,Surniculus dicruroides
109,Surniculus lugubris
110,Hierococcyx vagans
111,Hierococcyx sparverioides
112,Hierococcyx bocki
113,Hierococcyx varius
114,Hierococcyx nisicolor
115,Hierococcyx fugax
116,Cuculus poliocephalus
117,Cuculus micropterus
118,Cuculus saturatus
119,Cuculus lepidus
120,Cuculus canorus
121,Batrachostomus auritus
122,Batrachostomus stellatus
123,Batrachostomus hodgsoni
124,Batrachostomus affinis
125,Lyncornis temminckii
126,Lyncornis macrotis
127,Caprimulgus jotaka
128,Caprimulgus macrurus
129,Caprimulgus asiaticus
130,Caprimulgus affinis
131,Rhaphidura leucopygialis
132,Hirundapus caudacutus
133,Hirundapus cochinchinensis
134,Hirundapus giganteus
135,Collocalia affinis
136,Aerodramus brevirostris
137,Aerodramus maximus
138,Aerodramus fuciphagus
139,Aerodramus germani
140,Apus apus
141,Apus pacificus
142,Apus cooki
143,Apus acuticauda
144,Apus nipalensis
145,Cypsiurus balasiensis
146,Hemiprocne coronata
147,Hemiprocne longipennis
148,Hemiprocne comata
149,Rallus indicus
150,Lewinia striata
151,Porzana porzana
152,Gallinula chloropus
153,Fulica atra
154,Porphyrio poliocephalus
155,Gallicrex cinerea
156,Amaurornis phoenicurus
157,Amaurornis cinerea
158,Rallina fasciata
159,Rallina eurizonoides
160,Zapornia fusca
161,Zapornia paykullii
162,Zapornia pusilla
163,Zapornia bicolor
164,Heliopais personatus
165,Anthropoides virgo
166,Antigone antigone
167,Grus grus
168,Burhinus indicus
169,Esacus recurvirostris
170,Esacus magnirostris
171,Himantopus himantopus
172,Recurvirostra avosetta
173,Haematopus ostralegus
174,Pluvialis squatarola
175,Pluvialis fulva
176,Vanellus vanellus
177,Vanellus duvaucelii
178,Vanellus cinereus
179,Vanellus indicus
180,Charadrius mongolus
181,Charadrius leschenaultii
182,Charadrius peronii
183,Charadrius alexandrinus
184,Charadrius hiaticula
185,Charadrius placidus
186,Charadrius dubius
187,Charadrius veredus
188,Rostratula benghalensis
189,Hydrophasianus chirurgus
190,Metopidius indicus
191,Numenius phaeopus
192,Numenius minutus
193,Numenius madagascariensis
194,Numenius arquata
195,Limosa lapponica
196,Limosa limosa
197,Arenaria interpres
198,Calidris tenuirostris
199,Calidris canutus
200,Calidris pugnax
201,Calidris falcinellus
202,Calidris acuminata
203,Calidris ferruginea
204,Calidris temminckii
205,Calidris subminuta
206,Calidris pygmaea
207,Calidris ruficollis
208,Calidris alba
209,Calidris alpina
210,Calidris minuta
211,Calidris melanotos
212,Limnodromus semipalmatus
213,Limnodromus scolopaceus
214,Lymnocryptes minimus
215,Scolopax rusticola
216,Gallinago nemoricola
217,Gallinago gallinago
218,Gallinago stenura
219,Gallinago megala
220,Xenus cinereus
221,Phalaropus lobatus
222,Phalaropus fulicarius
223,Actitis hypoleucos
224,Tringa ochropus
225,Tringa brevipes
226,Tringa erythropus
227,Tringa nebularia
228,Tringa guttifer
229,Tringa stagnatilis
230,Tringa glareola
231,Tringa totanus
